2021,联合
服务器,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
呉,2707,2289,2371,2523,2814,2683,2908,5722,4427,5674,5210,3864
佐世保,2675,2287,2427,2622,2799,2595,2977,5483,4270,5609,5561,3819
舞鶴,2529,2192,2317,2532,2754,2590,2801,6042,4705,5739,5561,4032
大湊,2785,2354,2445,2700,2913,2773,3068,5233,3729,4817,4500,3472
トラック,2819,2378,2523,2642,2999,2762,3053,4877,3802,4493,4554,3328
リンガ,2932,2376,2546,2753,3162,2844,3250,5208,3694,5003,4523,3343
ラバウル,3196,2500,2811,3033,3359,3217,3554,4792,3461,4515,4403,3379
ショートランド,3206,2626,2786,3058,3518,3222,3460,4854,3622,4813,4589,3398
ブイン,3060,2433,2633,2948,3107,2931,3229,4823,3559,4293,4463,3313
タウイタウイ,3332,2560,2838,3156,3355,3097,3414,4897,3641,4476,4696,3342
パラオ,3085,2585,2780,2983,3391,3070,3490,4906,3622,4411,4508,3540
ブルネイ,3188,2694,2796,3053,3416,3152,3382,4922,3581,4345,4505,3064
単冠湾,3247,2533,2733,3025,3297,3072,3451,4792,3685,4440,4419,3366
幌筵,3167,2660,2768,3058,3357,3038,3474,4996,3504,4413,4639,3354
宿毛湾,3113,2497,2688,3017,3454,3134,3328,4684,3666,4413,4606,3347
鹿屋,3184,2611,2721,3074,3434,3143,3481,5046,3584,4531,4576,3375
岩川,3140,2498,2684,2957,3222,3038,3317,4986,3458,4652,4493,3284
佐伯湾,3474,2710,2865,3156,3600,3299,3599,4863,3732,4517,4449,3368
柱島,4223,3208,3341,3789,4081,3942,4156,6265,5064,6067,6187,4579
2018,3群
服务器,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
横須賀,1953,1643,1946,1876,2075,2075,2197,3863,2548,2900,3220,2625
呉,1819,1531,1769,1776,1951,1956,2051,4105,2650,3209,3421,2716
佐世保,1860,1594,1837,1764,1985,1977,2058,3960,2621,3165,3457,2671
舞鶴,1783,1526,1777,1758,1925,1915,2004,4098,2718,3189,3579,2738
大湊,1937,1638,1903,1905,2079,2044,2175,3597,2378,2690,2886,2545
トラック,1952,1659,1956,1917,2112,2106,2222,3274,2201,2465,2725,2440
リンガ,1987,1680,1979,1948,2148,2133,2305,3365,2286,2530,2790,2477
ラバウル,2323,1861,2214,2290,2503,2397,2617,3275,2209,2504,2761,2513
ショートランド,2312,1854,2227,2280,2521,2409,2585,3381,2311,2547,2793,2514
ブイン,2137,1790,2061,2053,2247,2221,2372,3310,2232,2509,2719,2473
タウイタウイ,2280,1825,2145,2210,2412,2270,2550,3291,2240,2446,2789,2475
パラオ,2270,1824,2138,2167,2351,2274,2452,3210,2226,2472,2632,2447
ブルネイ,2249,1833,2156,2191,2446,2226,2531,3134,2128,2301,2591,2440
単冠湾,2255,1826,2133,2164,2371,2288,2427,3204,2201,2360,2610,2486
幌筵,2214,1799,2130,2195,2392,2275,2507,3236,2207,2412,2674,2437
宿毛湾,2264,1795,2143,2138,2376,2265,2476,3241,2188,2421,2629,2461
鹿屋,2363,1874,2165,2302,2479,2338,2580,3225,2189,2452,2718,2441
岩川,2189,1771,2112,2100,2404,2229,2424,3200,2192,2462,2760,2442
佐伯湾,2312,1828,2255,2285,2552,2334,2531,3224,2249,2369,2570,2446
柱島,2833,2107,2639,2743,3045,2690,3034,4158,2805,3460,3783,2847
2017,联合
服务器,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
横須賀,4677,3947,4764,4993,4430,5117,6696,4829,5178,5226,5199,5932
呉,4413,3692,4287,5968,4497,5099,5363,4829,5012,6174,5312,5145
佐世保,3934,4685,4527,4525,4165,5088,4752,4297,5544,4769,4437,4898
舞鶴,5417,3810,4172,4894,5575,5224,6311,5132,5085,4955,4446,6280
大湊,4829,3736,4748,5379,4501,5448,6567,5144,5586,4977,4715,6718
トラック,4818,4617,5581,5532,6443,5918,5652,4828,7023,5824,5679,6595
リンガ,4895,4110,4731,7906,5291,6405,5461,5435,5571,5903,4786,6955
